Mod:Item:MetaData, Localized Name
appliedenergistics2:facade:0, Cable Facade - Steel Sheetmetal
appliedenergistics2:facade:0, Cable Facade - Iron Sheetmetal
appliedenergistics2:facade:0, Cable Facade - Gold Sheetmetal
appliedenergistics2:facade:0, Cable Facade - Copper Coil Block
appliedenergistics2:facade:0, Cable Facade - Electrum Coil Block
appliedenergistics2:facade:0, Cable Facade - High-Voltage Coil Block
appliedenergistics2:facade:0, Cable Facade - Redstone Engineering Block
appliedenergistics2:facade:0, Cable Facade - Light Engineering Block
appliedenergistics2:facade:0, Cable Facade - Heavy Engineering Block
appliedenergistics2:facade:0, Cable Facade - Generator Block
appliedenergistics2:facade:0, Cable Facade - Radiator Block
appliedenergistics2:facade:0, Cable Facade - Asphalt Concrete
appliedenergistics2:facade:0, Cable Facade - Centennial Trophy
appliedenergistics2:facade:0, Cable Facade - Oak Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Oak Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Spruce Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Spruce Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Birch Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Birch Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Jungle Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Jungle Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Acacia Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Acacia Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Dark Oak Rail Bridge
appliedenergistics2:facade:0, Cable Facade - Dark Oak Rail Bridge End
appliedenergistics2:facade:0, Cable Facade - Railing
appliedenergistics2:facade:0, Cable Facade - Ratlines
appliedenergistics2:facade:0, Cable Facade - Ship's Bell
appliedenergistics2:facade:0, Cable Facade - Ghastly Planks
appliedenergistics2:facade:0, Cable Facade - Ghastly Railing
appliedenergistics2:facade:0, Cable Facade - Ghastly Log
appliedenergistics2:facade:0, Cable Facade - Ghastly Bell
appliedenergistics2:facade:0, Cable Facade - Forge
appliedenergistics2:facade:0, Cable Facade - Cannonball
appliedenergistics2:facade:0, Cable Facade - Square Sail
appliedenergistics2:facade:0, Cable Facade - Jib Sheet
appliedenergistics2:facade:0, Cable Facade - Capstan
appliedenergistics2:facade:0, Cable Facade - tile.pirates.ship_wheel.name
appliedenergistics2:facade:0, Cable Facade - Oak Trim
appliedenergistics2:facade:0, Cable Facade - Spruce Trim
appliedenergistics2:facade:0, Cable Facade - Birch Trim
appliedenergistics2:facade:0, Cable Facade - Jungle Trim
appliedenergistics2:facade:0, Cable Facade - Acacia Trim
appliedenergistics2:facade:0, Cable Facade - Dark Oak Trim
appliedenergistics2:facade:0, Cable Facade - Valkyrium Ore
appliedenergistics2:facade:0, Cable Facade - Compacted Valkyrium
appliedenergistics2:facade:0, Cable Facade - tile.ship_helm_wheel.name
appliedenergistics2:facade:0, Cable Facade - Tornado Sensor
appliedenergistics2:facade:0, Cable Facade - Pocket Dimension Boundary
appliedenergistics2:facade:0, Cable Facade - Pocket Dimension Focus
appliedenergistics2:facade:0, Cable Facade - Fiery Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Verdant Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Radiant Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Icy Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Stormy Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Dark Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Mystical Crystal Ore
appliedenergistics2:facade:0, Cable Facade - Crystal Silver Ore
appliedenergistics2:facade:0, Cable Facade - Astral Diamond Ore
appliedenergistics2:facade:0, Cable Facade - Devoritium Block
appliedenergistics2:facade:0, Cable Facade - Devoritium Gilded Stone
appliedenergistics2:facade:0, Cable Facade - Devoritium Ore
appliedenergistics2:facade:0, Cable Facade - Crystal Tree
appliedenergistics2:facade:0, Cable Facade - Crystal Tree Leaves
appliedenergistics2:facade:0, Cable Facade - Magically Sealed Stone
appliedenergistics2:facade:0, Cable Facade - Unsealed Stone
appliedenergistics2:facade:0, Cable Facade - Unseal Glyph
appliedenergistics2:facade:0, Cable Facade - Aether Grass
appliedenergistics2:facade:0, Cable Facade - Enchanted Aether Grass
appliedenergistics2:facade:0, Cable Facade - Aether Dirt
appliedenergistics2:facade:0, Cable Facade - Holystone
appliedenergistics2:facade:0, Cable Facade - Mossy Holystone
appliedenergistics2:facade:0, Cable Facade - Holystone Brick
appliedenergistics2:facade:0, Cable Facade - Quicksoil
appliedenergistics2:facade:0, Cable Facade - Icestone
appliedenergistics2:facade:0, Cable Facade - Ambrosium Ore
appliedenergistics2:facade:0, Cable Facade - Zanite Ore
appliedenergistics2:facade:0, Cable Facade - Gravitite Ore
appliedenergistics2:facade:0, Cable Facade - Skyroot Leaves
appliedenergistics2:facade:0, Cable Facade - Golden Oak Leaves
appliedenergistics2:facade:0, Cable Facade - Skyroot Log
appliedenergistics2:facade:0, Cable Facade - Golden Oak Log
appliedenergistics2:facade:0, Cable Facade - Skyroot Plank
appliedenergistics2:facade:0, Cable Facade - Aerogel
appliedenergistics2:facade:0, Cable Facade - Enchanted Gravitite
appliedenergistics2:facade:0, Cable Facade - Zanite Block
appliedenergistics2:facade:0, Cable Facade - Carved Stone
appliedenergistics2:facade:0, Cable Facade - Sentry Stone
appliedenergistics2:facade:0, Cable Facade - Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Light Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Light Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Carved Stone
appliedenergistics2:facade:0, Cable Facade - Sentry Stone
appliedenergistics2:facade:0, Cable Facade - Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Light Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Light Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Carved Stone
appliedenergistics2:facade:0, Cable Facade - Sentry Stone
appliedenergistics2:facade:0, Cable Facade - Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Light Angelic Stone
appliedenergistics2:facade:0, Cable Facade - Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Light Hellfire Stone
appliedenergistics2:facade:0, Cable Facade - Crystal Leaves
appliedenergistics2:facade:0, Cable Facade - Crystal Fruit Leaves
appliedenergistics2:facade:0, Cable Facade - Holiday Leaves
appliedenergistics2:facade:0, Cable Facade - Decorated Holiday Leaves
appliedenergistics2:facade:0, Cable Facade - Present
appliedenergistics2:facade:0, Cable Facade - Pillar
appliedenergistics2:facade:0, Cable Facade - Pillar Top
appliedenergistics2:facade:0, Cable Facade - Skyroot Double Slab
appliedenergistics2:facade:0, Cable Facade - Carved Double Slab
appliedenergistics2:facade:0, Cable Facade - Angelic Double Slab
appliedenergistics2:facade:0, Cable Facade - Hellfire Double Slab
appliedenergistics2:facade:0, Cable Facade - Holystone Double Slab
appliedenergistics2:facade:0, Cable Facade - Mossy Holystone Double Slab
appliedenergistics2:facade:0, Cable Facade - Holystone Brick Double Slab
appliedenergistics2:facade:0, Cable Facade - Sun Altar
appliedenergistics2:facade:0, Cable Facade - Skyroot Bookshelf
appliedenergistics2:facade:0, Cable Facade - Water Spring
appliedenergistics2:facade:0, Cable Facade - Oil Spring
appliedenergistics2:facade:0, Cable Facade - tile.decorated.destroy.name
appliedenergistics2:facade:0, Cable Facade - Blueprint (Decoration)
appliedenergistics2:facade:0, Cable Facade - Template (Decoration)
appliedenergistics2:facade:0, Cable Facade - tile.decorated.paper.name
appliedenergistics2:facade:0, Cable Facade - tile.decorated.leather.name
appliedenergistics2:facade:0, Cable Facade - Laser (Decoration)
appliedenergistics2:facade:0, Cable Facade - Floater
appliedenergistics2:facade:0, Cable Facade - Air Balloon
appliedenergistics2:facade:0, Cable Facade - Orange Air Balloon
appliedenergistics2:facade:0, Cable Facade - Magenta Air Balloon
appliedenergistics2:facade:0, Cable Facade - Light Blue Air Balloon
appliedenergistics2:facade:0, Cable Facade - Yellow Air Balloon
appliedenergistics2:facade:0, Cable Facade - Lime Air Balloon
appliedenergistics2:facade:0, Cable Facade - Pink Air Balloon
appliedenergistics2:facade:0, Cable Facade - Gray Air Balloon
appliedenergistics2:facade:0, Cable Facade - Silver Air Balloon
appliedenergistics2:facade:0, Cable Facade - Cyan Air Balloon
appliedenergistics2:facade:0, Cable Facade - Purple Air Balloon
appliedenergistics2:facade:0, Cable Facade - Blue Air Balloon
appliedenergistics2:facade:0, Cable Facade - Brown Air Balloon
appliedenergistics2:facade:0, Cable Facade - Green Air Balloon
appliedenergistics2:facade:0, Cable Facade - Red Air Balloon
appliedenergistics2:facade:0, Cable Facade - Black Air Balloon
appliedenergistics2:facade:0, Cable Facade - Shore Buffer
appliedenergistics2:facade:0, Cable Facade - Sticky Buffer
appliedenergistics2:facade:0, Cable Facade - Cinnamon Wood
appliedenergistics2:facade:0, Cable Facade - Maple Wood
appliedenergistics2:facade:0, Cable Facade - Paperbark Wood
appliedenergistics2:facade:0, Cable Facade - Well
appliedenergistics2:facade:0, Cable Facade - Beehive
appliedenergistics2:facade:0, Cable Facade - Honey Block
appliedenergistics2:facade:0, Cable Facade - Honeycomb Block
appliedenergistics2:facade:0, Cable Facade - Pressed Wax Block
appliedenergistics2:facade:0, Cable Facade - Waxcomb Block
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:crystal_seed:0, Certus Quartz Seed
appliedenergistics2:crystal_seed:600, Nether Quartz Seed
appliedenergistics2:crystal_seed:1200, Fluix Seed
appliedenergistics2:encoded_pattern, Encoded Pattern
appliedenergistics2:paint_ball:0, Paint Ball - White
appliedenergistics2:paint_ball:1, Paint Ball - Orange
appliedenergistics2:paint_ball:2, Paint Ball - Magenta
appliedenergistics2:paint_ball:3, Paint Ball - Light Blue
appliedenergistics2:paint_ball:4, Paint Ball - Yellow
appliedenergistics2:paint_ball:5, Paint Ball - Lime
appliedenergistics2:paint_ball:6, Paint Ball - Pink
appliedenergistics2:paint_ball:7, Paint Ball - Gray
appliedenergistics2:paint_ball:8, Paint Ball - Light Gray
appliedenergistics2:paint_ball:9, Paint Ball - Cyan
appliedenergistics2:paint_ball:10, Paint Ball - Purple
appliedenergistics2:paint_ball:11, Paint Ball - Blue
appliedenergistics2:paint_ball:12, Paint Ball - Brown
appliedenergistics2:paint_ball:13, Paint Ball - Green
appliedenergistics2:paint_ball:14, Paint Ball - Red
appliedenergistics2:paint_ball:15, Paint Ball - Black
appliedenergistics2:paint_ball:20, Paint Ball - Lumen White
appliedenergistics2:paint_ball:21, Paint Ball - Lumen Orange
appliedenergistics2:paint_ball:22, Paint Ball - Lumen Magenta
appliedenergistics2:paint_ball:23, Paint Ball - Lumen Light Blue
appliedenergistics2:paint_ball:24, Paint Ball - Lumen Yellow
appliedenergistics2:paint_ball:25, Paint Ball - Lumen Lime
appliedenergistics2:paint_ball:26, Paint Ball - Lumen Pink
appliedenergistics2:paint_ball:27, Paint Ball - Lumen Gray
appliedenergistics2:paint_ball:28, Paint Ball - Lumen Light Gray
appliedenergistics2:paint_ball:29, Paint Ball - Lumen Cyan
appliedenergistics2:paint_ball:30, Paint Ball - Lumen Purple
appliedenergistics2:paint_ball:31, Paint Ball - Lumen Blue
appliedenergistics2:paint_ball:32, Paint Ball - Lumen Brown
appliedenergistics2:paint_ball:33, Paint Ball - Lumen Green
appliedenergistics2:paint_ball:34, Paint Ball - Lumen Red
appliedenergistics2:paint_ball:35, Paint Ball - Lumen Black
appliedenergistics2:dummy_fluid_item, item.appliedenergistics2.dummy_fluid_item.name
appliedenergistics2:material:28, Advanced Card
appliedenergistics2:material:44, Annihilation Core
appliedenergistics2:material:25, Basic Card
appliedenergistics2:material:52, Blank Pattern
appliedenergistics2:material:23, Calculation Processor
appliedenergistics2:material:13, Inscriber Calculation Press
appliedenergistics2:material:16, Printed Calculation Circuit
appliedenergistics2:material:27, Capacity Card
appliedenergistics2:material:53, Crafting Card
appliedenergistics2:material:29, Fuzzy Card
appliedenergistics2:material:31, Inverter Card
appliedenergistics2:material:60, Magnet Card
appliedenergistics2:material:58, Pattern Expansion Card
appliedenergistics2:material:59, Quantum Link Card
appliedenergistics2:material:26, Redstone Card
appliedenergistics2:material:30, Acceleration Card
appliedenergistics2:material:61, Sticky Card
appliedenergistics2:material:34, §d128³§r Spatial Component
appliedenergistics2:material:37, §a16k§r ME Storage Component
appliedenergistics2:material:33, §916³§r Spatial Component
appliedenergistics2:material:35, §61k§r ME Storage Component
appliedenergistics2:material:32, §62³§r Spatial Component
appliedenergistics2:material:36, §e4k§r ME Storage Component
appliedenergistics2:material:38, §b64k§r ME Storage Component
appliedenergistics2:material:0, Certus Quartz Crystal
appliedenergistics2:material:1, Charged Certus Quartz Crystal
appliedenergistics2:material:2, Certus Quartz Dust
appliedenergistics2:material:39, ME Storage Housing
appliedenergistics2:material:46, Ender Dust
appliedenergistics2:material:24, Engineering Processor
appliedenergistics2:material:14, Inscriber Engineering Press
appliedenergistics2:material:17, Printed Engineering Circuit
appliedenergistics2:material:4, Flour
appliedenergistics2:material:56, §a16k§r ME Fluid Storage Component
appliedenergistics2:material:54, §61k§r ME Fluid Storage Component
appliedenergistics2:material:55, §e4k§r ME Fluid Storage Component
appliedenergistics2:material:57, §b64k§r ME Fluid Storage Component
appliedenergistics2:material:7, Fluix Crystal
appliedenergistics2:material:8, Fluix Dust
appliedenergistics2:material:9, Fluix Pearl
appliedenergistics2:material:43, Formation Core
appliedenergistics2:material:51, Gold Dust
appliedenergistics2:material:49, Iron Dust
appliedenergistics2:material:22, Logic Processor
appliedenergistics2:material:15, Inscriber Logic Press
appliedenergistics2:material:18, Printed Logic Circuit
appliedenergistics2:material:6, Matter Ball
appliedenergistics2:material:21, Inscriber Name Press
appliedenergistics2:material:3, Nether Quartz Dust
appliedenergistics2:material:10, Pure Certus Quartz Crystal
appliedenergistics2:material:12, Pure Fluix Crystal
appliedenergistics2:material:11, Pure Nether Quartz Crystal
appliedenergistics2:material:48, Quantum Entangled Singularity
appliedenergistics2:material:5, Silicon
appliedenergistics2:material:19, Inscriber Silicon Press
appliedenergistics2:material:20, Printed Silicon
appliedenergistics2:material:47, Singularity
appliedenergistics2:material:45, Sky Stone Dust
appliedenergistics2:material:41, Wireless Receiver
appliedenergistics2:material:42, Wireless Booster
appliedenergistics2:material:40, Wooden Gear
appliedenergistics2:part:300, ME Annihilation Plane
appliedenergistics2:part:120, Cable Anchor
appliedenergistics2:part:20, ME Covered Cable - White
appliedenergistics2:part:21, ME Covered Cable - Orange
appliedenergistics2:part:22, ME Covered Cable - Magenta
appliedenergistics2:part:23, ME Covered Cable - Light Blue
appliedenergistics2:part:24, ME Covered Cable - Yellow
appliedenergistics2:part:25, ME Covered Cable - Lime
appliedenergistics2:part:26, ME Covered Cable - Pink
appliedenergistics2:part:27, ME Covered Cable - Gray
appliedenergistics2:part:28, ME Covered Cable - Light Gray
appliedenergistics2:part:29, ME Covered Cable - Cyan
appliedenergistics2:part:30, ME Covered Cable - Purple
appliedenergistics2:part:31, ME Covered Cable - Blue
appliedenergistics2:part:32, ME Covered Cable - Brown
appliedenergistics2:part:33, ME Covered Cable - Green
appliedenergistics2:part:34, ME Covered Cable - Red
appliedenergistics2:part:35, ME Covered Cable - Black
appliedenergistics2:part:36, ME Covered Cable - Fluix
appliedenergistics2:part:500, ME Dense Covered Cable - White
appliedenergistics2:part:501, ME Dense Covered Cable - Orange
appliedenergistics2:part:502, ME Dense Covered Cable - Magenta
appliedenergistics2:part:503, ME Dense Covered Cable - Light Blue
appliedenergistics2:part:504, ME Dense Covered Cable - Yellow
appliedenergistics2:part:505, ME Dense Covered Cable - Lime
appliedenergistics2:part:506, ME Dense Covered Cable - Pink
appliedenergistics2:part:507, ME Dense Covered Cable - Gray
appliedenergistics2:part:508, ME Dense Covered Cable - Light Gray
appliedenergistics2:part:509, ME Dense Covered Cable - Cyan
appliedenergistics2:part:510, ME Dense Covered Cable - Purple
appliedenergistics2:part:511, ME Dense Covered Cable - Blue
appliedenergistics2:part:512, ME Dense Covered Cable - Brown
appliedenergistics2:part:513, ME Dense Covered Cable - Green
appliedenergistics2:part:514, ME Dense Covered Cable - Red
appliedenergistics2:part:515, ME Dense Covered Cable - Black
appliedenergistics2:part:516, ME Dense Covered Cable - Fluix
appliedenergistics2:part:60, ME Dense Smart Cable - White
appliedenergistics2:part:61, ME Dense Smart Cable - Orange
appliedenergistics2:part:62, ME Dense Smart Cable - Magenta
appliedenergistics2:part:63, ME Dense Smart Cable - Light Blue
appliedenergistics2:part:64, ME Dense Smart Cable - Yellow
appliedenergistics2:part:65, ME Dense Smart Cable - Lime
appliedenergistics2:part:66, ME Dense Smart Cable - Pink
appliedenergistics2:part:67, ME Dense Smart Cable - Gray
appliedenergistics2:part:68, ME Dense Smart Cable - Light Gray
appliedenergistics2:part:69, ME Dense Smart Cable - Cyan
appliedenergistics2:part:70, ME Dense Smart Cable - Purple
appliedenergistics2:part:71, ME Dense Smart Cable - Blue
appliedenergistics2:part:72, ME Dense Smart Cable - Brown
appliedenergistics2:part:73, ME Dense Smart Cable - Green
appliedenergistics2:part:74, ME Dense Smart Cable - Red
appliedenergistics2:part:75, ME Dense Smart Cable - Black
appliedenergistics2:part:76, ME Dense Smart Cable - Fluix
appliedenergistics2:part:0, ME Glass Cable - White
appliedenergistics2:part:1, ME Glass Cable - Orange
appliedenergistics2:part:2, ME Glass Cable - Magenta
appliedenergistics2:part:3, ME Glass Cable - Light Blue
appliedenergistics2:part:4, ME Glass Cable - Yellow
appliedenergistics2:part:5, ME Glass Cable - Lime
appliedenergistics2:part:6, ME Glass Cable - Pink
appliedenergistics2:part:7, ME Glass Cable - Gray
appliedenergistics2:part:8, ME Glass Cable - Light Gray
appliedenergistics2:part:9, ME Glass Cable - Cyan
appliedenergistics2:part:10, ME Glass Cable - Purple
appliedenergistics2:part:11, ME Glass Cable - Blue
appliedenergistics2:part:12, ME Glass Cable - Brown
appliedenergistics2:part:13, ME Glass Cable - Green
appliedenergistics2:part:14, ME Glass Cable - Red
appliedenergistics2:part:15, ME Glass Cable - Black
appliedenergistics2:part:16, ME Glass Cable - Fluix
appliedenergistics2:part:40, ME Smart Cable - White
appliedenergistics2:part:41, ME Smart Cable - Orange
appliedenergistics2:part:42, ME Smart Cable - Magenta
appliedenergistics2:part:43, ME Smart Cable - Light Blue
appliedenergistics2:part:44, ME Smart Cable - Yellow
appliedenergistics2:part:45, ME Smart Cable - Lime
appliedenergistics2:part:46, ME Smart Cable - Pink
appliedenergistics2:part:47, ME Smart Cable - Gray
appliedenergistics2:part:48, ME Smart Cable - Light Gray
appliedenergistics2:part:49, ME Smart Cable - Cyan
appliedenergistics2:part:50, ME Smart Cable - Purple
appliedenergistics2:part:51, ME Smart Cable - Blue
appliedenergistics2:part:52, ME Smart Cable - Brown
appliedenergistics2:part:53, ME Smart Cable - Green
appliedenergistics2:part:54, ME Smart Cable - Red
appliedenergistics2:part:55, ME Smart Cable - Black
appliedenergistics2:part:56, ME Smart Cable - Fluix
appliedenergistics2:part:420, ME Conversion Monitor
appliedenergistics2:part:360, ME Crafting Terminal
appliedenergistics2:part:200, Dark Illuminated Panel
appliedenergistics2:part:341, ME Extended Processing Pattern Terminal
appliedenergistics2:part:260, ME Export Bus
appliedenergistics2:part:302, ME Fluid Annihilation Plane
appliedenergistics2:part:261, ME Fluid Export Bus
appliedenergistics2:part:321, ME Fluid Formation Plane
appliedenergistics2:part:241, ME Fluid Import Bus
appliedenergistics2:part:441, ME Fluid Interface
appliedenergistics2:part:522, ME Fluid Interface Configuration Terminal
appliedenergistics2:part:281, ME Fluid Level Emitter
appliedenergistics2:part:221, ME Fluid Storage Bus
appliedenergistics2:part:520, ME Fluid Terminal
appliedenergistics2:part:320, ME Formation Plane
appliedenergistics2:part:301, ME Identity Annihilation Plane
appliedenergistics2:part:240, ME Import Bus
appliedenergistics2:part:440, ME Interface
appliedenergistics2:part:521, ME Interface Configuration Terminal
appliedenergistics2:part:480, ME Interface Terminal
appliedenergistics2:part:100, ME Inverted Toggle Bus
appliedenergistics2:part:280, ME Level Emitter
appliedenergistics2:part:160, Bright Illuminated Panel
appliedenergistics2:part:222, ME OreDict Storage Bus
appliedenergistics2:part:469, P2P Tunnel - FE
appliedenergistics2:part:463, P2P Tunnel - Fluid
appliedenergistics2:part:465, P2P Tunnel - EU
appliedenergistics2:part:462, P2P Tunnel - Item
appliedenergistics2:part:467, P2P Tunnel - Light
appliedenergistics2:part:460, P2P Tunnel - ME
appliedenergistics2:part:461, P2P Tunnel - Redstone
appliedenergistics2:part:340, ME Pattern Terminal
appliedenergistics2:part:140, Quartz Fiber
appliedenergistics2:part:180, Illuminated Panel
appliedenergistics2:part:220, ME Storage Bus
appliedenergistics2:part:400, ME Storage Monitor
appliedenergistics2:part:380, ME Terminal
appliedenergistics2:part:80, ME Toggle Bus
ancientwarfare:info_tool, Info Tool
ancientwarfare:research_book, Research Book
ancientwarfare:research_note, Research Note
ancientwarfare:backpack:0, Small Pack
ancientwarfare:backpack:1, Travel Pack
ancientwarfare:backpack:2, Medium Pack
ancientwarfare:backpack:3, Large Pack
ancientwarfare:wooden_quill, Wooden Quill
ancientwarfare:stone_quill, Stone Quill
ancientwarfare:iron_quill, Iron Quill
ancientwarfare:gold_quill, Gold Quil
ancientwarfare:diamond_quill, Diamond Quill
ancientwarfare:wooden_hammer, Wooden Hammer
ancientwarfare:stone_hammer, Stone Hammer
ancientwarfare:iron_hammer, Iron Hammer
ancientwarfare:gold_hammer, Gold Hammer
ancientwarfare:diamond_hammer, Diamond Hammer
ancientwarfare:manual, Treatise on the Principles of Ruling
ancientwarfare:component:0, Wooden Gear Set
ancientwarfare:component:1, Iron Gear Set
ancientwarfare:component:2, Steel Gear Set
ancientwarfare:component:3, Wooden Bushing Set
ancientwarfare:component:4, Iron Bushing Set Set
ancientwarfare:component:5, Steel Bushing Set
ancientwarfare:component:6, Wooden Torque Shaft
ancientwarfare:component:7, Iron Torque Shaft
ancientwarfare:component:8, Steel Torque Shaft
ancientwarfare:steel_ingot, Steel Ingot
ancientwarfare:engineering_station, tile.engineering_station.name
ancientwarfare:research_station, tile.research_station.name
buildcraftlib:guide, BuildCraft Guide Book
buildcraftlib:guide_note, BuildCraft Guide Book Note
buildcraftlib:debugger, Debugger
ancientwarfareautomation:worksite_upgrade:0, Medium Bounds Upgrade
ancientwarfareautomation:worksite_upgrade:1, Large Bounds Upgrade
ancientwarfareautomation:worksite_upgrade:2, Medium Quarry Upgrade
ancientwarfareautomation:worksite_upgrade:3, Large Quarry Upgrade
ancientwarfareautomation:worksite_upgrade:4, Lightly Enchanted Tools Upgrade
ancientwarfareautomation:worksite_upgrade:5, Highly Enchanted Tools Upgrade
ancientwarfareautomation:worksite_upgrade:6, Basic Tool Quality Upgrade
ancientwarfareautomation:worksite_upgrade:7, Intermediate Tool Quality Upgrade
ancientwarfareautomation:worksite_upgrade:8, Advanced Tool Quality Upgrade
ancientwarfareautomation:worksite_upgrade:9, Basic Chunkloader Upgrade
ancientwarfareautomation:worksite_upgrade:10, Quarry Chunkloader Upgrade
ancientwarfareautomation:quarry, Quarry
ancientwarfareautomation:tree_farm, Tree Farm
ancientwarfareautomation:crop_farm, Crop Farm
ancientwarfareautomation:fruit_farm, Fruit Farm
ancientwarfareautomation:animal_farm, Animal Farm
ancientwarfareautomation:fish_farm, Fish Farm
ancientwarfareautomation:warehouse_control, Warehouse Control Block
ancientwarfareautomation:warehouse_storage:0, Small Warehouse Storage
ancientwarfareautomation:warehouse_storage:1, Medium Warehouse Storage
ancientwarfareautomation:warehouse_storage:2, Large Warehouse Storage
ancientwarfareautomation:warehouse_interface, Warehouse Interface
ancientwarfareautomation:warehouse_crafting, Warehouse Crafting Table
ancientwarfareautomation:warehouse_stock_viewer, Warehouse Stock Viewer
ancientwarfareautomation:warehouse_stock_linker, Warehouse Stock Linker
ancientwarfareautomation:auto_crafting, Auto Crafting Table
ancientwarfareautomation:mailbox, Mailbox
ancientwarfareautomation:flywheel_controller:0, Light Flywheel Controller
ancientwarfareautomation:flywheel_controller:1, Medium Flywheel Controller
ancientwarfareautomation:flywheel_controller:2, Heavy Flywheel Controller
ancientwarfareautomation:flywheel_storage:0, Light Flywheel Energy Storage
ancientwarfareautomation:flywheel_storage:1, Medium Flywheel Energy Storage
ancientwarfareautomation:flywheel_storage:2, Heavy Flywheel Energy Storage
ancientwarfareautomation:torque_junction:0, Light Torque Junction
ancientwarfareautomation:torque_junction:1, Medium Torque Junction
ancientwarfareautomation:torque_junction:2, Heavy Torque Junction
ancientwarfareautomation:torque_shaft:0, Light Torque Shaft
ancientwarfareautomation:torque_shaft:1, Medium Torque Shaft
ancientwarfareautomation:torque_shaft:2, Heavy Torque Shaft
ancientwarfareautomation:torque_distributor:0, Light Torque Distributor
ancientwarfareautomation:torque_distributor:1, Medium Torque Distributor
ancientwarfareautomation:torque_distributor:2, Heavy Torque Distributor
ancientwarfareautomation:stirling_generator, tile.stirling_generator.name
ancientwarfareautomation:waterwheel_generator, tile.waterwheel_generator.name
ancientwarfareautomation:hand_cranked_generator, tile.hand_cranked_generator.name
ancientwarfareautomation:windmill_blade, Windmill Blade
ancientwarfareautomation:windmill_generator, tile.windmill_generator.name
ancientwarfareautomation:chunk_loader_simple, Simple Chunk Loader
ancientwarfareautomation:chunk_loader_deluxe, Deluxe Chunk Loader
ancientwarfarenpc:wooden_command_baton, Wooden Command Baton
ancientwarfarenpc:stone_command_baton, Stone Command Baton
ancientwarfarenpc:iron_command_baton, Iron Command Baton
ancientwarfarenpc:gold_command_baton, Gold Command Baton
ancientwarfarenpc:diamond_command_baton, Diamond Command Baton 
ancientwarfarenpc:bard_instrument:0, Lute
ancientwarfarenpc:bard_instrument:1, Flute
ancientwarfarenpc:bard_instrument:2, Harp
ancientwarfarenpc:bard_instrument:3, Drum
ancientwarfarenpc:wooden_shield, Wooden Shield
ancientwarfarenpc:stone_shield, Stone Shield
ancientwarfarenpc:iron_shield, Iron Shield
ancientwarfarenpc:gold_shield, Gold Shield
ancientwarfarenpc:diamond_shield, Diamond Shield
ancientwarfarenpc:shield_tribal_1, Tribal Shield
ancientwarfarenpc:shield_tribal_2, Tribal Shield
ancientwarfarenpc:shield_round_1, Round Shield
ancientwarfarenpc:shield_round_2, Round Shield
ancientwarfarenpc:shield_round_3, Round Shield
ancientwarfarenpc:shield_round_4, Round Shield
ancientwarfarenpc:shield_round_5, Round Shield
ancientwarfarenpc:shield_round_6, Round Shield
ancientwarfarenpc:shield_witchbane_1, Witchbane Shield
ancientwarfarenpc:shield_witchbane_2, Witchbane Shield
ancientwarfarenpc:shield_buffloka, Buffloka Shield
ancientwarfarenpc:work_order, Work Order
ancientwarfarenpc:upkeep_order, Upkeep Order
ancientwarfarenpc:combat_order, Combat Order
ancientwarfarenpc:routing_order, Routing Order
ancientwarfarenpc:trade_order, Trade Order
ancientwarfarenpc:npc_spawner, item.npc_spawner.name
ancientwarfarenpc:coin, item.coin.name
ancientwarfarenpc:macuahuitl, Macuahuitl
ancientwarfarenpc:sickle, Sickle
ancientwarfarenpc:pitchfork, Pitchfork
ancientwarfarenpc:scythe, Scythe
ancientwarfarenpc:death_scythe, Death's Scythe
